"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::Azurophil Granule Lumen (GO:0035578)",0.0119433073418977,33,77,0.00333663163964753,"GO_Cellular_Component_2026",0.326213400099657,0.0680672854488096,"n.s."
"GO_Biological_Process_2026::Nicotinamide Nucleotide Metabolic Process (GO:0046496)",0.0121085687738379,20,38,0.00109209101530613,"GO_Biological_Process_2026",1,0.209223501287197,"n.s."
"GO_Cellular_Component_2026::Lysosome (GO:0005764)",0.012252574847981,184,529,0.000240750327081186,"GO_Cellular_Component_2026",0.326213400099657,0.0113505434623506,"GC-driven"
"GO_Biological_Process_2026::Negative Regulation of Extrinsic Apoptotic Signaling Pathway via Death Domain Receptors (GO:1902042)",0.0124813200272876,11,19,0.00577127699766744,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Regulation of Natural Killer Cell Mediated Immunity (GO:0002715)",0.0127298599920259,9,12,0.000942569842882359,"GO_Biological_Process_2026",1,0.193031803340632,"n.s."
"GO_Biological_Process_2026::Regulation of Muscle Cell Differentiation (GO:0051147)",0.0127665334985864,12,20,0.00261861126271293,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Regulation of Signal Transduction by P53 Class Mediator (GO:1901796)",0.0127736065512012,24,58,0.0183627855020109,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Cellular_Component_2026::Autophagosome (GO:0005776)",0.0127926823568493,35,88,0.0104350801886445,"GO_Cellular_Component_2026",0.326213400099657,0.151419842909604,"n.s."
"GO_Biological_Process_2026::Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630)",0.0133790640101332,28,58,0.000751683164447261,"GO_Biological_Process_2026",1,0.171701781294319,"n.s."
"GO_Biological_Process_2026::Heterochromatin Formation (GO:0031507)",0.0140982412064512,43,119,0.0301830689423786,"GO_Biological_Process_2026",1,0.64249909121429,"n.s."
