"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::RNA Polymerase II, Holoenzyme (GO:0016591)",0.000465301976007628,23,64,0.00150165243492395,"GO_Cellular_Component_2026",0.00912707722168809,0.0264083704072833,"GC-robust"
"GO_Biological_Process_2026::Protein Maturation (GO:0051604)",0.000466322677169014,54,180,0.000437919810782873,"GO_Biological_Process_2026",0.0523161252537162,0.0605551440677899,"n.s."
"GO_Biological_Process_2026::Cytoplasmic Translational Initiation (GO:0002183)",0.000484339295854963,15,35,0.00130305149227771,"GO_Biological_Process_2026",0.0533311380213632,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Inner Mitochondrial Membrane Organization (GO:0007007)",0.00050729188554339,16,36,0.000556613601204098,"GO_Biological_Process_2026",0.0548428645716545,0.0704175419736078,"n.s."
"GO_Biological_Process_2026::TRNA 5'-End Processing (GO:0099116)",0.000546221767993339,9,15,0.000634501684183532,"GO_Biological_Process_2026",0.0579970470087213,0.0777074130856143,"n.s."
"GO_Biological_Process_2026::U2-type Prespliceosome Assembly (GO:1903241)",0.000577071512981975,12,25,0.00119383238359354,"GO_Biological_Process_2026",0.0601976704594881,0.114492376658826,"n.s."
"GO_Cellular_Component_2026::Nucleolus (GO:0005730)",0.000610480639038953,145,607,0.00346066971236641,"GO_Cellular_Component_2026",0.0115313009596247,0.0516538639010341,"n.s."
"GO_Biological_Process_2026::Nucleobase-containing Small Molecule Metabolic Process (GO:0055086)",0.00066081865292357,10,18,0.000724533834976125,"GO_Biological_Process_2026",0.0677453053497163,0.0799358104483153,"n.s."
"GO_Cellular_Component_2026::Nuclear Lumen (GO:0031981)",0.000883455240309545,148,627,0.00504280550384272,"GO_Cellular_Component_2026",0.016091506162781,0.0695089407286428,"n.s."
"GO_Biological_Process_2026::DNA Metabolic Process (GO:0006259)",0.000891806829019788,82,322,0.00462209549059768,"GO_Biological_Process_2026",0.0892737691566766,0.274829797870938,"n.s."
"GO_Biological_Process_2026::Regulation of Endosome Size (GO:0051036)",0.000900845299260107,7,10,0.000725955897108817,"GO_Biological_Process_2026",0.0892737691566766,0.0799358104483153,"n.s."
