Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Ficolin-1-rich Granule Lumen (GO:1904813),0.0003954658341338,0.006111744709340545,0.0003710234406965,0.006103934024361775,2.224264705882353,40,120,GC-robust,ACTR1B;APEH;ARPC5;C1ORF35;CAPN1;CCT8;CFD;COMMD3;CSNK2B;CST3;CSTB;CTSD;DYNLT1;EEF1A1;EEF2;GMFG;GPI;GSDMD;GSTP1;GUSB;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;ILF2;MIF;NME2;PDAP1;PKM;PPIA;PRDX4;PSMB1;PSMC3;PSMD3;PSMD6;PSMD7;SRP14
GO_Cellular_Component_2026,Ficolin-1-rich Granule (GO:0101002),0.0004689122589592,0.007033683884388,0.000268815556767,0.005272920536583462,2.0210955751595243,54,173,GC-robust,ACTR1B;ADAM8;APEH;ARPC5;ATP6AP2;ATP6V0C;C1ORF35;CAPN1;CCT8;CFD;COMMD3;CSNK2B;CST3;CSTB;CTSD;DYNLL1;DYNLT1;EEF1A1;EEF2;FCER1G;GMFG;GPI;GSDMD;GSTP1;GUSB;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;ILF2;ITGB2;LAMP1;LAMTOR1;LGALS3;MIF;NME2;PDAP1;PKM;PPIA;PRDX4;PSMB1;PSMC3;PSMD3;PSMD6;PSMD7;RAC1;RHOA;SERPINB6;SRP14;TBC1D10C;TCIRG1
GO_Molecular_Function_2026,RRNA Binding (GO:0019843),5.4794344873437e-06,0.007572578461508994,1.97395634975096e-05,0.02728007675355827,4.240531602920073,21,43,GC-robust,CIRBP;DDX28;ERAL1;GTF3A;MRPL11;MRPL16;MRPL18;MRPS7;NOL12;NOP53;NPM1;PPAN;RBFA;RPL11;RPL12;RPL23;RPL5;RPLP0;RRS1;SBDS;TST
GO_Biological_Process_2026,RNA Processing (GO:0006396),6.63727908925018e-05,0.008385566645099485,0.0014317173400683,0.09755092035898916,1.6668111594680353,80,294,n.s.,AARS1;ARL6IP4;BCAS2;CLP1;DEDD2;DTWD2;EBNA1BP2;EXOSC1;EXOSC4;EXOSC5;EXOSC6;FASTK;FBL;GEMIN2;GEMIN4;HNRNPA0;IMP3;IMP4;INTS11;INTS15;INTS5;ISG20;LSM3;LSM4;LSM5;LSM6;LYAR;MAGOH;METTL5;MRM1;MRTO4;NOB1;NOP53;PCIF1;PIH1D1;PIN4;POP4;POP5;POP7;PRMT1;RBM3;RBM8A;RBPMS;RP9;RPL11;RPL14;RPL26;RPL27;RPL35A;RPL5;RPL7;RPP21;RPP25;RRP36;RRP9;SBDS;SCNM1;SF3A2;SF3B4;SNRNP25;SNRNP35;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPF;SNRPG;SNRPN;SRSF2;SRSF7;THG1L;TRMT1;TRMT10C;TRMT61A;TSEN34;TUT1;USP39;WDR18;ZCRB1;ZNF830
GO_Biological_Process_2026,Regulation of Proteasomal Protein Catabolic Process (GO:0061136),6.87799620990186e-05,0.008429778509527749,0.0003022360764853,0.03425151055997048,2.630370415413472,29,78,GC-robust,ADRM1;DDRGK1;DNAAF4;F8A1;GABARAPL2;HERPUD1;HSP90AB1;NUDT15;PSMA4;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RAD23A;SEM1;UBB
GO_Biological_Process_2026,Ribosomal Large Subunit Biogenesis (GO:0042273),6.95619984787571e-05,0.008429778509527749,0.0003347667380351,0.03549723018665043,3.289112534309241,20,47,GC-robust,CINP;EBNA1BP2;EIF6;GTF3A;MALSU1;MRTO4;NIP7;NOP53;NPM1;NSA2;RPL11;RPL14;RPL26;RPL35A;RPL5;RPL7;RPL7A;RRS1;RSL24D1;TRMT112
GO_Biological_Process_2026,"CD8-positive, Alpha-Beta T Cell Homeostasis (GO:0160165)",9.48093290386119e-05,0.011259555916625549,0.0003694590463957,0.03782496237064942,7.981519507186857,9,14,GC-robust,PSMA4;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB8;PSMB9
GO_Biological_Process_2026,Protein Catabolic Process (GO:0030163),0.0001043266304925,0.012146892781656177,0.0002620242728668,0.031753063924144044,2.080633843743139,50,157,GC-robust,ADRM1;BAG6;CELA2B;CLN5;CLPP;CTSD;CTSF;CTSL;CTSW;DPP7;FAU;FBXO2;FBXO44;GZMA;GZMB;HSP90AA1;HSPA8;ISG15;LONP1;NEDD8;PMAIP1;PPT1;PSMA4;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC3;PSMC4;PSMC5;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RNF5;SEM1;SQSTM1;TCIRG1;UBA52;UBB;UBC;UCHL3;USE1
GO_Biological_Process_2026,Ribosome Biogenesis (GO:0042254),0.0001220895345369,0.013941685693848311,0.0009563461229202,0.07280491381923265,2.002070393374741,45,145,n.s.,CINP;EBNA1BP2;EIF1AX;EIF6;EXOSC4;EXOSC5;FBL;FSAF1;GEMIN4;GRWD1;GTF3A;IMP3;IMP4;LYAR;MALSU1;METTL5;MRM1;MRTO4;NIP7;NOB1;NOL7;NOP53;NPM1;PDCD2;PIH1D1;PIN4;POP4;RAN;RBIS;RPL11;RPL14;RPL26;RPL27;RPL35A;RPL5;RPL7;RRP36;RRP9;RRS1;RSL24D1;SBDS;SNU13;UTP11;WDR18;WDR46
GO_Biological_Process_2026,Cellular Response to Type I Interferon (GO:0071357),0.0001410452349213,0.015802388772880746,0.0004253752448381,0.042540870363571286,2.776505610258759,25,65,GC-robust,ADRM1;IFITM1;IFITM2;IFITM3;IRAK1;PSMA4;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;SEM1;TBKBP1
