"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Molecular_Function_2026::Iron-sulfur Cluster Binding (GO:0051536)",0.00135517361998285,14,30,0.00189849649566515,"GO_Molecular_Function_2026",0.267937184293753,0.286020563384369,"n.s."
"GO_Biological_Process_2026::Ribosome Biogenesis (GO:0042254)",0.00135713365020096,44,138,0.00291468077306347,"GO_Biological_Process_2026",0.124104652566069,0.179783306897363,"n.s."
"GO_Biological_Process_2026::RRNA Metabolic Process (GO:0016072)",0.00138267271136778,31,85,0.00112622723172742,"GO_Biological_Process_2026",0.124524342369243,0.109742535498161,"n.s."
"GO_Biological_Process_2026::Cellular Response to UV (GO:0034644)",0.00141892733528522,25,65,0.00139134845659404,"GO_Biological_Process_2026",0.125882150461721,0.125305685242348,"n.s."
"GO_Biological_Process_2026::Mitochondrial Respirasome Assembly (GO:0097250)",0.00157019792712602,6,8,0.00185124940931207,"GO_Biological_Process_2026",0.137253771747604,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Negative Regulation of mRNA Splicing, via Spliceosome (GO:0048025)",0.00163881650682766,13,27,0.001930300460807,"GO_Biological_Process_2026",0.140575033809709,0.152787904884616,"n.s."
"GO_Biological_Process_2026::TRNA Thio-Modification (GO:0034227)",0.00166626176854567,5,5,0.000461591027480384,"GO_Biological_Process_2026",0.140575033809709,0.0623567515305318,"n.s."
"GO_Biological_Process_2026::Negative Regulation of RNA Splicing (GO:0033119)",0.00168315253538555,14,31,0.00278353716829412,"GO_Biological_Process_2026",0.140575033809709,0.179783306897363,"n.s."
"GO_Biological_Process_2026::DNA Protection (GO:0042262)",0.00170279314170576,4,4,0.00214610718434303,"GO_Biological_Process_2026",0.140575033809709,0.152787904884616,"n.s."
"GO_Biological_Process_2026::CD8-positive, Alpha-Beta T Cell Differentiation (GO:0043374)",0.00176982399861432,9,16,0.00253693898818251,"GO_Biological_Process_2026",0.140780812453808,0.165709509294031,"n.s."
"GO_Biological_Process_2026::Regulation of Endosome Size (GO:0051036)",0.00177205026039648,7,10,0.00137401560491868,"GO_Biological_Process_2026",0.140780812453808,0.125305685242348,"n.s."
"GO_Biological_Process_2026::Nucleobase-containing Small Molecule Metabolic Process (GO:0055086)",0.00177633932268432,10,18,0.00165262554914721,"GO_Biological_Process_2026",0.140780812453808,0.142365308175812,"n.s."
"GO_Cellular_Component_2026::Vesicle (GO:0031982)",0.0018111038748044,60,191,0.000872879458852135,"GO_Cellular_Component_2026",0.0329879634339372,0.0158988758576639,"GC-robust"
"GO_Biological_Process_2026::T-helper 1 Type Immune Response (GO:0042088)",0.00188167893478213,12,25,0.00296412585396056,"GO_Biological_Process_2026",0.147167099846645,0.179783306897363,"n.s."
"GO_Biological_Process_2026::Substantia Nigra Development (GO:0021762)",0.00197045729890394,16,36,0.00174326100515313,"GO_Biological_Process_2026",0.152109067333571,0.148027763066146,"n.s."
"GO_Biological_Process_2026::Removal of Superoxide Radicals (GO:0019430)",0.00203384061159125,7,10,0.00137401560491868,"GO_Biological_Process_2026",0.154989084555108,0.125305685242348,"n.s."
"GO_Biological_Process_2026::TRNA 5'-Leader Removal (GO:0001682)",0.00210153578901234,8,13,0.00205972067485729,"GO_Biological_Process_2026",0.158120616834043,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Gene Expression (GO:0010467)",0.00223237453224052,74,260,0.00470878080386295,"GO_Biological_Process_2026",0.16586542774547,0.254445391801467,"n.s."
"GO_Cellular_Component_2026::Ribonuclease MRP Complex (GO:0000172)",0.00231698404523918,6,8,0.00185124940931207,"GO_Cellular_Component_2026",0.0407469607955856,0.0314712399583052,"GC-robust"
"GO_Biological_Process_2026::Response to Type II Interferon (GO:0034341)",0.00234164551830858,25,68,0.00287869242440975,"GO_Biological_Process_2026",0.171836308158348,0.179783306897363,"n.s."
"GO_Biological_Process_2026::Negative Regulation of mRNA Processing (GO:0050686)",0.00245015360460497,13,28,0.0029002718833294,"GO_Biological_Process_2026",0.177606256411853,0.179783306897363,"n.s."
"GO_Biological_Process_2026::C21-steroid Hormone Biosynthetic Process (GO:0006700)",0.00253515548252441,4,4,0.00214610718434303,"GO_Biological_Process_2026",0.181553785399098,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Riboflavin Metabolic Process (GO:0006771)",0.0025859246184647,4,4,0.00214610718434303,"GO_Biological_Process_2026",0.182984951573264,0.152787904884616,"n.s."
"GO_Cellular_Component_2026::U2-type Catalytic Step 2 Spliceosome (GO:0071007)",0.00267806884219974,13,30,0.00601844721900958,"GO_Cellular_Component_2026",0.0455271703173956,0.0930123661119662,"n.s."
"GO_Biological_Process_2026::Alpha-beta T Cell Activation (GO:0046631)",0.002745419948402,11,22,0.0029486777008942,"GO_Biological_Process_2026",0.191985602038841,0.179783306897363,"n.s."
"GO_Cellular_Component_2026::Cytolytic Granule (GO:0044194)",0.00280017688741667,6,8,0.00185124940931207,"GO_Cellular_Component_2026",0.0460674262123388,0.0314712399583052,"GC-robust"
